Location,Number,Birthplace,Years in ISJ,Cattle,Horses,Fowl,Wheat,Boats,Engagés,Other
Riv-du-Nord-Est,298,AC,2,0,0,0,0,,,
Riv-du-Nord-Est,299,AC,2,2,0,1,32,,,
Riv-du-Nord-Est,300,AC,2,1,0,3,0,,,
Riv-du-Nord-Est,301,AC,1,2,0,0,0,,,
Riv-du-Nord-Est,302,AC,2,5,0,25,8,,,
Riv-du-Nord-Est,303,AC,1,4,0,12,2,,,
Riv-du-Nord-Est,304,AC,1,2,0,7,1,,,
Riv-du-Nord-Est,305,AC,1,1,0,0,0,,,
Riv-du-Nord-Est,306,AC,4,20,1,25,12,,,
Riv-du-Nord-Est,307,AC,3,6,0,0,0,,,
Riv-du-Nord-Est,308,AC,2,10,1,44,20,,,
Riv-du-Nord-Est,309,AC,3,5,0,3,18,,,
Riv-du-Nord-Est,310,AC,3,11,0,38,18,1,,
Riv-du-Nord-Est,311,AC,2,7,0,3,36,,,
Riv-du-Nord-Est,312,AC,4,26,0,25,13,,2,
Riv-du-Nord-Est,313,AC,3,11,0,50,7,,1,
Riv-du-Nord-Est,314,AC,9,6,0,12,12.5,,,
Riv-du-Nord-Est,315,AC,2,3,0,6,3.5,,,
Riv-du-Nord-Est,316,FR,-,5,0,10,16,,,
Riv-du-Nord-Est,317,FR,3,5,0,0,12.5,,,
Riv-du-Nord-Est,318,FR,36,1,1,10,5,,,
Riv-du-Nord-Est,319,AC,28,9,0,3,26,,,
Riv-du-Nord-Est,320,FR,28,12,0,0,25,,,
Riv-du-Nord-Est,321,CANA,18,2,0,0,0,,,
Riv-du-Nord-Est,322,AC (IR),2,4,0,9,22,,,
Riv-du-Nord-Est,323,AC,29,5,1,5,24,,,
Riv-du-Nord-Est,324,AC,29,4,1,15,7,,,
Riv-du-Nord-Est,325,AC,30,6,1,9,16,,,
Riv-du-Nord-Est,326,AC,-,8,0,7,8,,,
Riv-du-Nord-Est,327,AC,24,8,2,17,8,,,
Riv-du-Nord-Est,328,AC,3,6,0,7,8,,,
Riv-du-Nord-Est,329,CAN,3,15,0,10,10,,,
Riv-du-Nord-Est,330,AC,16,3,1,5,0,,,
Riv-du-Nord-Est,331,AC,34,21,1,12,14,,,
Riv-du-Nord-Est,332,AC,30,33,2,5,24,,,
Riv-du-Nord-Est,333,AC,30,24,2,23,48,,,
Riv-du-Nord-Est,334,FR,22,23,1,50,33,,,
Riv-du-Nord-Est,335,AC,30,11,1,16,10,,,
Riv-du-Nord-Est,336,AC,30,28,0,9,60,,,
Riv-du-Nord-Est,337,AC,30,8,0,10,-,,,
Riv-du-Nord-Est,338,AC,2,24,1,12,12,,,
Riv-du-Nord-Est,339,AC,-,0,0,0,4,,,
Riv-du-Nord-Est,340,FR,30,11,0,1,3,,,
Riv-du-Nord-Est,341,FR,34,13,0,2,16,,,
Riv-du-Nord-Est,342,FR,3,11,0,8,12,,,
Riv-du-Nord-Est,343,AC,-,16,0,12,24,,,
Riv-du-Nord-Est,344,AC,1,1,0,7,12,,,
Riv-du-Nord-Est,345,AC,12,10,0,0,20,,,
Riv-du-Nord-Est,346,AC,12,10,0,0,20,,,
Riv-du-Nord-Est,347,AC (IR),-,14,0,6,32,,,
Riv-du-Nord-Est,348,FR,25,34,2,20,32,,,
Riv-du-Nord-Est,349,FR,18,31,1,10,5,,,
Riv-du-Nord-Est,350,FR,19,13,1,10,36,,,
Riv-du-Nord-Est,351,-,-,,,,,,,
Riv-du-Nord-Est,352,AC,4,15,2,25,22,,,sawmill
Riv-du-Nord-Est,353,AC,4,3,0,8,11,,,
Riv-du-Nord-Est,354,AC,4,15,2,25,10,,,
Riv-du-Nord-Est,355,AC,4,4,0,8,5,,,
Riv-du-Nord-Est,356,AC,2,9,0,7,4,,,
Riv-du-Nord-Est,357,AC,2,10,1,15,5,,,
Riv-du-Nord-Est,358,AC,2,1,0,30,0,,,
Riv-du-Nord-Est,359,AC,2,0,0,0,0,,,
Riv-du-Nord-Est,360,AC,0.5,0,0,0,0,,,
Riv-du-Nord-Est,361,AC,2,0,0,0,0,,,
Riv-du-Nord-Est,362,AC,2,4,0,15,0,,,
Riv-du-Nord-Est,363,AC,3,0,0,0,0,,,
Riv-du-Nord-Est,364,AC,3,0,1,0,0,,,
Riv-du-Nord-Est,365,AC,1,3,0,0,0,,,
Riv-du-Nord-Est,366,AC,1,4,2,24,0,,,
Riv-du-Nord-Est,367,AC,3,11,0,19,0,,,
Riv-du-Nord-Est,368,AC,1,5,0,9,0,,,
Riv-du-Nord-Est,369,AC,2,1,0,1,2.5,,,
Riv-du-Nord-Est,370,AC,2,5,0,12,8,,,
Riv-du-Nord-Est,371,AC,2,1,0,33,2,,,
Riv-du-Nord-Est,372,AC,2,3,0,25,2.5,,,
Riv-du-Nord-Est,373,AC,3,7,0,36,36,,,
